date,hour,collision_count,date_hour
30/03/2020,0,0,2020033000
30/03/2020,1,0,2020033001
30/03/2020,2,0,2020033002
30/03/2020,3,0,2020033003
30/03/2020,4,0,2020033004
30/03/2020,5,0,2020033005
30/03/2020,6,0,2020033006
30/03/2020,7,0,2020033007
30/03/2020,8,2,2020033008
30/03/2020,9,0,2020033009
30/03/2020,10,0,2020033010
30/03/2020,11,0,2020033011
30/03/2020,12,1,2020033012
30/03/2020,13,1,2020033013
30/03/2020,14,2,2020033014
30/03/2020,15,2,2020033015
30/03/2020,16,2,2020033016
30/03/2020,17,0,2020033017
30/03/2020,18,0,2020033018
30/03/2020,19,0,2020033019
30/03/2020,20,0,2020033020
30/03/2020,21,0,2020033021
30/03/2020,22,0,2020033022
30/03/2020,23,0,2020033023
31/03/2020,0,0,2020033100
31/03/2020,1,0,2020033101
31/03/2020,2,2,2020033102
31/03/2020,3,0,2020033103
31/03/2020,4,0,2020033104
31/03/2020,5,0,2020033105
31/03/2020,6,0,2020033106
31/03/2020,7,0,2020033107
31/03/2020,8,2,2020033108
31/03/2020,9,0,2020033109
31/03/2020,10,0,2020033110
31/03/2020,11,0,2020033111
31/03/2020,12,1,2020033112
31/03/2020,13,2,2020033113
31/03/2020,14,0,2020033114
31/03/2020,15,2,2020033115
31/03/2020,16,1,2020033116
31/03/2020,17,1,2020033117
31/03/2020,18,2,2020033118
31/03/2020,19,1,2020033119
31/03/2020,20,0,2020033120
31/03/2020,21,3,2020033121
31/03/2020,22,1,2020033122
31/03/2020,23,2,2020033123
01/04/2020,0,0,2020040100
01/04/2020,1,0,2020040101
01/04/2020,2,0,2020040102
01/04/2020,3,0,2020040103
01/04/2020,4,0,2020040104
01/04/2020,5,0,2020040105
01/04/2020,6,0,2020040106
01/04/2020,7,0,2020040107
01/04/2020,8,0,2020040108
01/04/2020,9,1,2020040109
01/04/2020,10,1,2020040110
01/04/2020,11,2,2020040111
01/04/2020,12,1,2020040112
01/04/2020,13,2,2020040113
01/04/2020,14,3,2020040114
01/04/2020,15,1,2020040115
01/04/2020,16,2,2020040116
01/04/2020,17,2,2020040117
01/04/2020,18,2,2020040118
01/04/2020,19,2,2020040119
01/04/2020,20,2,2020040120
01/04/2020,21,0,2020040121
01/04/2020,22,0,2020040122
01/04/2020,23,1,2020040123
02/04/2020,0,0,2020040200
02/04/2020,1,0,2020040201
02/04/2020,2,1,2020040202
02/04/2020,3,0,2020040203
02/04/2020,4,0,2020040204
02/04/2020,5,0,2020040205
02/04/2020,6,0,2020040206
02/04/2020,7,1,2020040207
02/04/2020,8,0,2020040208
02/04/2020,9,0,2020040209
02/04/2020,10,0,2020040210
02/04/2020,11,0,2020040211
02/04/2020,12,0,2020040212
02/04/2020,13,3,2020040213
02/04/2020,15,2,2020040215
02/04/2020,16,3,2020040216
02/04/2020,17,4,2020040217
02/04/2020,18,1,2020040218
02/04/2020,20,1,2020040220
02/04/2020,21,2,2020040221
02/04/2020,22,1,2020040222
02/04/2020,23,1,2020040223
03/04/2020,0,0,2020040300
03/04/2020,1,0,2020040301
03/04/2020,2,0,2020040302
03/04/2020,3,0,2020040303
03/04/2020,4,0,2020040304
03/04/2020,5,2,2020040305
03/04/2020,6,0,2020040306
03/04/2020,7,2,2020040307
03/04/2020,8,0,2020040308
03/04/2020,9,1,2020040309
03/04/2020,10,0,2020040310
03/04/2020,11,0,2020040311
03/04/2020,12,1,2020040312
03/04/2020,13,2,2020040313
03/04/2020,14,0,2020040314
03/04/2020,15,2,2020040315
03/04/2020,16,2,2020040316
03/04/2020,17,2,2020040317
03/04/2020,18,0,2020040318
03/04/2020,19,2,2020040319
03/04/2020,20,1,2020040320
03/04/2020,21,2,2020040321
03/04/2020,22,0,2020040322
03/04/2020,23,0,2020040323
04/04/2020,0,0,2020040400
04/04/2020,1,2,2020040401
04/04/2020,2,0,2020040402
04/04/2020,3,0,2020040403
04/04/2020,4,0,2020040404
04/04/2020,5,0,2020040405
04/04/2020,6,0,2020040406
04/04/2020,7,0,2020040407
04/04/2020,8,1,2020040408
04/04/2020,9,0,2020040409
04/04/2020,10,2,2020040410
04/04/2020,11,2,2020040411
04/04/2020,12,2,2020040412
04/04/2020,13,0,2020040413
04/04/2020,14,4,2020040414
04/04/2020,15,1,2020040415
04/04/2020,16,1,2020040416
04/04/2020,17,0,2020040417
04/04/2020,18,3,2020040418
04/04/2020,19,3,2020040419
04/04/2020,20,3,2020040420
04/04/2020,21,1,2020040421
04/04/2020,22,1,2020040422
04/04/2020,23,0,2020040423
05/04/2020,0,3,2020040500
05/04/2020,0,0,2020040500
05/04/2020,1,0,2020040501
05/04/2020,2,0,2020040502
05/04/2020,3,0,2020040503
05/04/2020,4,0,2020040504
05/04/2020,5,0,2020040505
05/04/2020,6,0,2020040506
05/04/2020,7,0,2020040507
05/04/2020,8,0,2020040508
05/04/2020,9,0,2020040509
05/04/2020,10,0,2020040510
05/04/2020,11,1,2020040511
05/04/2020,12,1,2020040512
05/04/2020,13,0,2020040513
05/04/2020,14,0,2020040514
05/04/2020,15,2,2020040515
05/04/2020,16,6,2020040516
05/04/2020,17,3,2020040517
05/04/2020,18,1,2020040518
05/04/2020,19,3,2020040519
05/04/2020,20,3,2020040520
05/04/2020,21,1,2020040521
05/04/2020,22,2,2020040522
05/04/2020,23,2,2020040523
